ratio0,plate,carbon_id,A590,A750
less,2,26,0.262,0.175
less,2,27,0.389,0.264
less,2,28,0.358,0.245
less,2,29,0.449,0.303
less,2,30,0.261,0.191
less,2,31,0.23,0.171
less,2,32,0.664,0.461
less,2,33,0.451,0.294
less,2,34,0.416,0.2
less,2,35,0.216,0.163
less,2,36,0.34,0.206
less,2,37,0.271,0.2
less,2,38,0.307,0.231
less,2,39,0.969,0.632
less,2,40,0.78,0.462
less,2,41,0.896,0.594
less,2,42,0.884,0.608
less,2,43,1.162,0.687
less,2,44,0.975,0.698
less,2,45,0.411,0.272
less,2,46,0.321,0.233
less,2,47,0.909,0.51
less,2,48,0.68,0.369
less,2,49,0.869,0.631
less,2,50,1.037,0.578
less,2,51,0.447,0.164
less,2,52,0.952,0.654
less,2,53,0.942,0.603
less,2,54,0.725,0.519
less,2,55,0.301,0.222
less,2,56,0.457,0.337
less,2,57,0.286,0.211
less,2,58,0.922,0.649
less,2,59,0.806,0.529
less,2,60,0.457,0.328
less,2,61,0.287,0.214
less,2,62,0.786,0.52
less,2,63,0.424,0.308
less,2,64,0.227,0.175
less,2,65,1.205,0.866
less,2,66,0.274,0.208
less,2,67,0.558,0.418
less,2,68,0.211,0.163
less,2,69,0.303,0.225
less,2,70,0.742,0.547
less,2,71,0.484,0.345
less,2,72,0.338,0.238
less,3,1,0.325,0.237
less,3,2,0.327,0.228
less,3,3,0.355,0.244
less,3,4,0.358,0.248
less,3,5,0.294,0.216
less,3,6,0.441,0.273
less,3,7,0.355,0.259
less,3,8,0.314,0.228
less,3,9,0.351,0.257
less,3,10,0.299,0.216
less,3,11,0.267,0.198
less,3,12,0.289,0.2
less,3,13,0.262,0.194
less,3,14,0.266,0.197
less,3,15,0.59,0.373
less,3,16,0.285,0.21
less,3,17,0.272,0.201
less,3,18,0.327,0.228
less,3,19,1.092,0.752
less,3,20,0.829,0.499
less,3,21,0.59,0.33
less,3,22,0.348,0.197
less,3,23,0.269,0.192
less,3,24,0.356,0.178
less,3,25,0.347,0.187
less,3,26,0.273,0.18
less,3,27,0.355,0.237
less,3,28,0.336,0.231
less,3,29,0.458,0.308
less,3,30,0.277,0.204
less,3,31,0.262,0.195
less,3,32,0.569,0.393
less,3,33,0.444,0.292
less,3,34,0.449,0.204
less,3,35,0.244,0.188
less,3,36,0.358,0.225
less,3,37,0.266,0.197
less,3,38,0.323,0.243
less,3,39,1.062,0.703
less,3,40,0.848,0.515
less,3,41,0.91,0.615
less,3,42,0.872,0.61
less,3,43,1.182,0.723
less,3,44,1.048,0.774
less,3,45,0.451,0.302
less,3,46,0.325,0.237
less,3,47,0.891,0.504
less,3,48,0.752,0.398
less,3,49,0.834,0.602
less,3,50,1.029,0.553
less,3,51,0.53,0.185
less,3,52,0.957,0.673
less,3,53,0.913,0.59
less,3,54,0.822,0.604
less,3,55,0.399,0.292
less,3,56,0.518,0.385
less,3,57,0.315,0.233
less,3,58,0.984,0.698
less,3,59,0.826,0.551
less,3,60,0.458,0.328
less,3,61,0.284,0.213
less,3,62,0.822,0.577
less,3,63,0.425,0.311
less,3,64,0.725,0.465
less,3,65,1.443,0.985
less,3,66,0.261,0.2
less,3,67,0.796,0.604
less,3,68,0.227,0.174
less,3,69,0.367,0.271
less,3,70,0.757,0.557
less,3,71,0.612,0.454
less,3,72,0.378,0.26
all,1,1,0.213,0.17
all,1,2,0.384,0.2
all,1,3,0.418,0.289
all,1,4,0.488,0.321
all,1,5,0.208,0.162
all,1,6,0.296,0.183
all,1,7,0.179,0.142
all,1,8,0.196,0.153
all,1,9,0.189,0.147
all,1,10,0.203,0.166
all,1,11,0.208,0.166
all,1,12,0.428,0.234
all,1,13,0.231,0.178
all,1,14,0.202,0.158
all,1,15,0.438,0.289
all,1,16,0.226,0.173
all,1,17,0.208,0.163
all,1,18,0.386,0.25
all,1,19,0.457,0.283
all,1,20,0.507,0.297
all,1,21,0.57,0.317
all,1,22,0.457,0.228
all,1,23,0.201,0.153
all,1,24,0.195,0.15
all,1,25,0.56,0.22
all,1,26,0.371,0.181
all,1,27,0.45,0.279
all,1,28,0.464,0.276
all,1,29,0.362,0.251
all,1,30,0.272,0.208
all,1,31,0.208,0.163
all,1,32,0.394,0.194
all,1,33,0.665,0.286
all,1,34,0.664,0.265
all,1,35,0.187,0.149
all,1,36,0.479,0.229
all,1,37,0.217,0.177
all,1,38,0.527,0.22
all,1,39,0.262,0.187
all,1,40,0.214,0.171
all,1,41,0.198,0.162
all,1,42,0.216,0.172
all,1,43,0.203,0.16
all,1,44,0.204,0.16
all,1,45,0.278,0.181
all,1,46,0.308,0.239
all,1,47,0.654,0.326
all,1,48,0.535,0.271
all,1,49,0.537,0.299
all,1,50,0.573,0.275
all,1,51,0.304,0.169
all,1,52,0.331,0.222
all,1,53,0.204,0.166
all,1,54,0.23,0.177
all,1,55,0.19,0.153
all,1,56,0.321,0.226
all,1,57,0.212,0.167
all,1,58,0.402,0.186
all,1,59,0.198,0.155
all,1,60,0.249,0.186
all,1,61,0.191,0.152
all,1,62,0.197,0.156
all,1,63,0.181,0.145
all,1,64,0.245,0.201
all,1,65,0.23,0.186
all,1,66,0.218,0.18
all,1,67,0.221,0.183
all,1,68,0.188,0.159
all,1,69,0.272,0.2
all,1,70,0.204,0.167
all,1,71,0.306,0.189
all,1,72,0.192,0.155
none,1,1,0.319,0.259
none,1,2,0.369,0.298
none,1,3,0.376,0.313
none,1,4,0.41,0.34
none,1,5,0.388,0.321
none,1,6,0.367,0.301
none,1,7,0.373,0.308
none,1,8,0.413,0.346
none,1,9,0.413,0.357
none,1,10,0.388,0.321
none,1,11,0.337,0.282
none,1,12,0.354,0.294
none,1,13,0.402,0.331
none,1,14,0.41,0.339
none,1,15,0.398,0.333
none,1,16,0.373,0.312
none,1,17,0.396,0.336
none,1,18,0.409,0.351
none,1,19,1.485,1.124
none,1,20,0.968,0.678
none,1,21,0.584,0.385
none,1,22,0.456,0.335
none,1,23,0.376,0.313
none,1,24,0.474,0.304
none,1,25,0.454,0.317
none,1,26,0.405,0.328
none,1,27,0.607,0.483
none,1,28,0.378,0.306
none,1,29,0.358,0.3
none,1,30,0.392,0.325
none,1,31,0.374,0.314
none,1,32,0.624,0.489
none,1,33,0.414,0.345
none,1,34,0.586,0.342
none,1,35,0.389,0.335
none,1,36,0.347,0.312
none,1,37,0.325,0.274
none,1,38,0.42,0.351
none,1,39,1.147,0.721
none,1,40,0.892,0.599
none,1,41,1.062,0.763
none,1,42,1.503,1.009
none,1,43,1.351,0.868
none,1,44,1.42,0.981
none,1,45,0.65,0.526
none,1,46,0.387,0.313
none,1,47,1.453,0.887
none,1,48,0.555,0.395
none,1,49,0.815,0.609
none,1,50,1.324,0.747
none,1,51,0.7,0.33
none,1,52,1.37,0.893
none,1,53,1.11,0.809
none,1,54,1.287,0.896
none,1,55,0.36,0.3
none,1,56,0.589,0.465
none,1,57,0.412,0.34
none,1,58,0.846,0.583
none,1,59,1.251,0.779
none,1,60,0.529,0.423
none,1,61,0.444,0.372
none,1,62,1.221,0.731
none,1,63,0.393,0.338
none,1,64,0.343,0.289
none,1,65,1.409,1.061
none,1,66,0.327,0.283
none,1,67,0.66,0.521
none,1,68,0.357,0.311
none,1,69,0.409,0.341
none,1,70,0.685,0.535
none,1,71,0.966,0.778
none,1,72,0.425,0.367
all,2,1,0.195,0.155
all,2,2,0.496,0.23
all,2,3,0.41,0.275
all,2,4,0.502,0.32
all,2,5,0.2,0.161
all,2,6,0.294,0.187
all,2,7,0.193,0.156
all,2,8,0.213,0.167
all,2,9,0.194,0.157
all,2,10,0.197,0.156
all,2,11,0.189,0.154
all,2,12,0.433,0.234
all,2,13,0.109,0.099
all,2,14,0.201,0.16
all,2,15,0.5,0.324
all,2,16,0.261,0.189
all,2,17,0.207,0.166
all,2,18,0.4,0.258
all,2,19,0.44,0.26
all,2,20,0.528,0.304
all,2,21,0.606,0.321
all,2,22,0.48,0.23
all,2,23,0.193,0.151
all,2,24,0.191,0.149
all,2,25,0.58,0.227
all,2,26,0.388,0.191
all,2,27,0.477,0.294
all,2,28,0.448,0.259
all,2,29,0.392,0.265
all,2,30,0.201,0.161
all,2,31,0.2,0.159
all,2,32,0.405,0.21
all,2,33,0.709,0.295
all,2,34,0.705,0.274
all,2,35,0.192,0.157
all,2,36,0.486,0.233
all,2,37,0.194,0.156
all,2,38,0.483,0.205
all,2,39,0.244,0.178
all,2,40,0.204,0.167
all,2,41,0.2,0.165
all,2,42,0.206,0.168
all,2,43,0.203,0.164
all,2,44,0.204,0.166
all,2,45,0.268,0.187
all,2,46,0.269,0.202
all,2,47,0.631,0.293
all,2,48,0.507,0.253
all,2,49,0.553,0.291
all,2,50,0.608,0.283
all,2,51,0.315,0.158
all,2,52,0.337,0.224
all,2,53,0.252,0.213
all,2,54,0.233,0.181
all,2,55,0.182,0.148
all,2,56,0.303,0.21
all,2,57,0.321,0.219
all,2,58,0.391,0.191
all,2,59,0.17,0.134
all,2,60,0.263,0.201
all,2,61,0.201,0.165
all,2,62,0.202,0.164
all,2,63,0.193,0.158
all,2,64,0.201,0.158
all,2,65,0.187,0.146
all,2,66,0.18,0.139
all,2,67,0.192,0.155
all,2,68,0.157,0.128
all,2,69,0.238,0.177
all,2,70,0.18,0.145
all,2,71,0.262,0.177
all,2,72,0.174,0.141
none,2,1,0.289,0.213
none,2,2,0.293,0.214
none,2,3,0.274,0.206
none,2,4,0.276,0.206
none,2,5,0.3,0.222
none,2,6,0.285,0.205
none,2,7,0.293,0.218
none,2,8,0.306,0.227
none,2,9,0.28,0.209
none,2,10,0.297,0.22
none,2,11,0.281,0.21
none,2,12,0.291,0.215
none,2,13,0.291,0.217
none,2,14,0.269,0.201
none,2,15,0.303,0.23
none,2,16,0.303,0.226
none,2,17,0.288,0.215
none,2,18,0.281,0.209
none,2,19,1.624,1.333
none,2,20,0.801,0.489
none,2,21,0.522,0.307
none,2,22,0.336,0.204
none,2,23,0.293,0.215
none,2,24,0.428,0.216
none,2,25,0.357,0.205
none,2,26,0.249,0.179
none,2,27,0.407,0.293
none,2,28,0.279,0.208
none,2,29,0.28,0.21
none,2,30,0.295,0.22
none,2,31,0.283,0.212
none,2,32,0.522,0.364
none,2,33,0.281,0.207
none,2,34,0.48,0.214
none,2,35,0.247,0.189
none,2,36,0.201,0.159
none,2,37,0.253,0.19
none,2,38,0.383,0.234
none,2,39,1.304,0.866
none,2,40,0.721,0.455
none,2,41,0.91,0.638
none,2,42,1.24,0.688
none,2,43,1.284,0.767
none,2,44,1.135,0.758
none,2,45,0.451,0.311
none,2,46,0.32,0.239
none,2,47,1.38,0.798
none,2,48,0.477,0.306
none,2,49,0.927,0.675
none,2,50,1.378,0.731
none,2,51,0.584,0.186
none,2,52,1.291,0.716
none,2,53,0.768,0.477
none,2,54,0.851,0.433
none,2,55,0.303,0.224
none,2,56,0.599,0.438
none,2,57,0.307,0.228
none,2,58,1.217,0.899
none,2,59,0.964,0.564
none,2,60,0.444,0.323
none,2,61,0.292,0.223
none,2,62,1.099,0.612
none,2,63,0.375,0.279
none,2,64,0.426,0.322
none,2,65,1.283,0.824
none,2,66,0.296,0.229
none,2,67,0.666,0.501
none,2,68,0.221,0.17
none,2,69,0.354,0.263
none,2,70,0.617,0.444
none,2,71,0.463,0.324
none,2,72,0.284,0.206
all,3,1,0.248,0.206
all,3,2,0.439,0.244
all,3,3,0.456,0.322
all,3,4,0.54,0.355
all,3,5,0.243,0.196
all,3,6,0.332,0.21
all,3,7,0.229,0.185
all,3,8,0.26,0.198
all,3,9,0.222,0.18
all,3,10,0.244,0.202
all,3,11,0.243,0.201
all,3,12,0.479,0.277
all,3,13,0.274,0.216
all,3,14,0.233,0.191
all,3,15,0.911,0.608
all,3,16,0.302,0.215
all,3,17,0.243,0.197
all,3,18,0.439,0.295
all,3,19,0.529,0.332
all,3,20,0.5,0.306
all,3,21,0.674,0.357
all,3,22,0.484,0.267
all,3,23,0.321,0.205
all,3,24,0.232,0.185
all,3,25,0.502,0.239
all,3,26,0.384,0.226
all,3,27,0.508,0.321
all,3,28,0.546,0.332
all,3,29,0.441,0.308
all,3,30,0.246,0.198
all,3,31,0.244,0.199
all,3,32,0.388,0.229
all,3,33,0.772,0.333
all,3,34,0.658,0.317
all,3,35,0.22,0.186
all,3,36,0.522,0.266
all,3,37,0.253,0.213
all,3,38,0.557,0.254
all,3,39,0.304,0.234
all,3,40,0.26,0.217
all,3,41,0.25,0.214
all,3,42,0.262,0.223
all,3,43,0.249,0.204
all,3,44,0.245,0.204
all,3,45,0.314,0.225
all,3,46,0.35,0.281
all,3,47,0.703,0.343
all,3,48,0.539,0.29
all,3,49,0.561,0.334
all,3,50,0.609,0.282
all,3,51,0.403,0.209
all,3,52,0.388,0.273
all,3,53,0.248,0.207
all,3,54,0.319,0.246
all,3,55,0.234,0.195
all,3,56,0.345,0.256
all,3,57,0.26,0.207
all,3,58,0.435,0.23
all,3,59,0.239,0.198
all,3,60,0.297,0.233
all,3,61,0.25,0.206
all,3,62,0.243,0.2
all,3,63,0.231,0.195
all,3,64,0.343,0.295
all,3,65,0.282,0.234
all,3,66,0.307,0.246
all,3,67,0.277,0.238
all,3,68,0.239,0.209
all,3,69,0.295,0.235
all,3,70,0.249,0.215
all,3,71,0.477,0.286
all,3,72,0.251,0.211
none,3,1,0.277,0.214
none,3,2,0.29,0.219
none,3,3,0.301,0.232
none,3,4,0.288,0.215
none,3,5,0.284,0.21
none,3,6,0.272,0.197
none,3,7,0.264,0.195
none,3,8,0.287,0.211
none,3,9,0.306,0.225
none,3,10,0.301,0.231
none,3,11,0.282,0.211
none,3,12,0.271,0.201
none,3,13,0.313,0.236
none,3,14,0.263,0.194
none,3,15,0.272,0.201
none,3,16,0.27,0.199
none,3,17,0.238,0.177
none,3,18,0.251,0.186
none,3,19,1.673,1.322
none,3,20,1.159,0.669
none,3,21,0.548,0.319
none,3,22,0.326,0.206
none,3,23,0.287,0.207
none,3,24,0.403,0.197
none,3,25,0.32,0.185
none,3,26,0.251,0.17
none,3,27,0.426,0.311
none,3,28,0.288,0.218
none,3,29,0.274,0.204
none,3,30,0.281,0.209
none,3,31,0.281,0.208
none,3,32,0.855,0.603
none,3,33,0.267,0.195
none,3,34,0.487,0.203
none,3,35,0.245,0.184
none,3,36,0.24,0.189
none,3,37,0.254,0.202
none,3,38,0.325,0.255
none,3,39,1.386,0.844
none,3,40,0.903,0.525
none,3,41,1.279,0.781
none,3,42,1.414,0.841
none,3,43,1.093,0.602
none,3,44,1.026,0.562
none,3,45,0.429,0.309
none,3,46,0.315,0.244
none,3,47,1.369,0.737
none,3,48,0.47,0.302
none,3,49,0.814,0.51
none,3,50,1.474,0.773
none,3,51,0.553,0.195
none,3,52,1.095,0.614
none,3,53,0.923,0.604
none,3,54,0.617,0.33
none,3,55,0.283,0.21
none,3,56,0.483,0.359
none,3,57,0.311,0.231
none,3,58,1.066,0.674
none,3,59,0.945,0.531
none,3,60,0.528,0.386
none,3,61,0.268,0.208
none,3,62,1.241,0.634
none,3,63,0.364,0.271
none,3,64,0.378,0.308
none,3,65,1.624,1.081
none,3,66,0.28,0.232
none,3,67,0.563,0.434
none,3,68,0.255,0.21
none,3,69,0.343,0.265
none,3,70,0.564,0.411
none,3,71,0.507,0.374
none,3,72,0.304,0.233
